0.936	9.29E-4	9.47E-4	9.43E-4	9.57E-4	9.19E-4	9.58E-4	9.26E-4	9.34E-4
0.912	8.55E-4	8.73E-4	8.67E-4	8.71E-4	8.47E-4	8.81E-4	8.57E-4	8.54E-4
0.888	7.87E-4	8.06E-4	7.95E-4	8.02E-4	7.7E-4	8.03E-4	7.83E-4	7.8E-4
0.864	7.2E-4	7.36E-4	7.29E-4	7.38E-4	7.1E-4	7.34E-4	7.18E-4	7.13E-4
0.84	6.62E-4	6.78E-4	6.7E-4	6.8E-4	6.52E-4	6.73E-4	6.63E-4	6.55E-4
0.816	6.04E-4	6.23E-4	6.17E-4	6.23E-4	5.98E-4	6.2E-4	6.02E-4	5.99E-4
0.792	5.57E-4	5.76E-4	5.64E-4	5.69E-4	5.45E-4	5.68E-4	5.56E-4	5.46E-4
0.768	5.11E-4	5.25E-4	5.21E-4	5.23E-4	5.01E-4	5.21E-4	5.1E-4	5.02E-4
0.744	4.66E-4	4.86E-4	4.78E-4	4.8E-4	4.57E-4	4.72E-4	4.66E-4	4.62E-4
0.72	4.28E-4	4.43E-4	4.4E-4	4.4E-4	4.17E-4	4.31E-4	4.28E-4	4.21E-4
0.696	3.9E-4	4.08E-4	4.02E-4	4.06E-4	3.86E-4	3.93E-4	3.88E-4	3.85E-4
0.672	3.56E-4	3.74E-4	3.71E-4	3.68E-4	3.53E-4	3.6E-4	3.56E-4	3.54E-4
0.648	3.27E-4	3.42E-4	3.41E-4	3.37E-4	3.21E-4	3.29E-4	3.24E-4	3.23E-4
0.624	2.97E-4	3.12E-4	3.09E-4	3.13E-4	2.94E-4	2.96E-4	2.93E-4	2.92E-4
0.6	2.73E-4	2.86E-4	2.83E-4	2.83E-4	2.67E-4	2.69E-4	2.67E-4	2.65E-4
0.576	2.47E-4	2.6E-4	2.56E-4	2.59E-4	2.45E-4	2.46E-4	2.42E-4	2.42E-4
0.552	2.26E-4	2.36E-4	2.31E-4	2.35E-4	2.21E-4	2.22E-4	2.2E-4	2.23E-4
0.528	2.06E-4	2.14E-4	2.11E-4	2.12E-4	2.01E-4	2.01E-4	1.99E-4	2.01E-4
0.504	1.86E-4	1.94E-4	1.91E-4	1.89E-4	1.81E-4	1.81E-4	1.81E-4	1.8E-4
0.48	1.68E-4	1.75E-4	1.72E-4	1.72E-4	1.63E-4	1.63E-4	1.62E-4	1.62E-4
0.456	1.5E-4	1.55E-4	1.56E-4	1.56E-4	1.47E-4	1.45E-4	1.47E-4	1.46E-4
