0.78	0.00388	0.00399	0.00402	0.00373	0.00369	0.00451	0.00393
0.76	0.00363	0.00373	0.00387	0.00348	0.00343	0.00424	0.00368
0.74	0.0034	0.00348	0.00361	0.00328	0.00327	0.00392	0.00347
0.72	0.00317	0.0032	0.00338	0.00308	0.00303	0.00375	0.00324
0.7	0.00299	0.00301	0.00322	0.00288	0.00283	0.00345	0.00303
0.68	0.00279	0.00286	0.003	0.0027	0.00265	0.00326	0.00283
0.66	0.0026	0.00266	0.00281	0.00252	0.00248	0.00305	0.00268
0.64	0.00243	0.0025	0.0026	0.00235	0.00228	0.00283	0.00253
0.62	0.00227	0.00231	0.00242	0.00219	0.00211	0.00266	0.00236
0.6	0.00212	0.00217	0.00227	0.00204	0.00197	0.00247	0.0022
0.58	0.002	0.00199	0.00213	0.00191	0.00184	0.00234	0.00204
0.56	0.00188	0.00186	0.00198	0.00177	0.00173	0.00216	0.00189
0.54	0.00172	0.00174	0.00185	0.00165	0.00161	0.00203	0.00176
0.52	0.00159	0.00164	0.0017	0.00153	0.00149	0.00185	0.00163
0.5	0.00147	0.00152	0.00158	0.00143	0.00136	0.00172	0.00152
0.48	0.00138	0.0014	0.00149	0.00131	0.00128	0.00159	0.00143
0.46	0.00129	0.00128	0.00137	0.00122	0.00118	0.00148	0.00132
0.44	0.00117	0.00118	0.00126	0.00114	0.00108	0.00135	0.00123
0.42	0.00109	0.0011	0.00115	0.00105	0.001	0.00123	0.00113
0.4	9.90933E-4	0.00102	0.00106	9.6455E-4	9.2154E-4	0.00117	0.00104
0.38	9.16267E-4	9.615E-4	9.9254E-4	8.9055E-4	8.51E-4	0.00107	9.56333E-4
0.36	8.342E-4	8.835E-4	9.09627E-4	8.0005E-4	7.78583E-4	9.77583E-4	8.64417E-4
0.34	7.57E-4	7.89833E-4	8.12E-4	7.2705E-4	7.1421E-4	8.8046E-4	7.91333E-4
0.32	6.86333E-4	7.16E-4	7.33417E-4	6.673E-4	6.50627E-4	8.05707E-4	7.14083E-4
0.3	6.19533E-4	6.48667E-4	6.7275E-4	6.0185E-4	5.87583E-4	7.22627E-4	6.5575E-4
0.28	5.57267E-4	5.73167E-4	6.13583E-4	5.382E-4	5.2196E-4	6.6175E-4	5.88583E-4
0.26	4.95067E-4	5.315E-4	5.60417E-4	4.7715E-4	4.69833E-4	5.88877E-4	5.2425E-4
0.24	4.38867E-4	4.62167E-4	5.05793E-4	4.187E-4	4.19167E-4	5.24877E-4	4.685E-4
0.22	3.8514E-4	4.23833E-4	4.4446E-4	3.59683E-4	3.66293E-4	4.5129E-4	4.22583E-4
0.2	3.3388E-4	3.755E-4	3.90897E-4	3.16545E-4	3.21867E-4	4.0525E-4	3.69333E-4
0.18	2.91367E-4	3.22833E-4	3.44317E-4	2.7457E-4	2.78896E-4	3.49333E-4	3.20567E-4
0.16	2.50787E-4	2.78983E-4	2.92004E-4	2.3328E-4	2.37579E-4	2.92738E-4	2.687E-4
0.14	2.10253E-4	2.3555E-4	2.53904E-4	1.9464E-4	1.99679E-4	2.43017E-4	2.24483E-4
0.12	1.7366E-4	1.93567E-4	2.10267E-4	1.60715E-4	1.67142E-4	2.02908E-4	1.84875E-4
0.1	1.38107E-4	1.54617E-4	1.73533E-4	1.3052E-4	1.33946E-4	1.64587E-4	1.46567E-4
0.08	1.07147E-4	1.21783E-4	1.31579E-4	1.00265E-4	1.02758E-4	1.316E-4	1.1305E-4
0.06	7.74467E-5	8.815E-5	9.59123E-5	7.2055E-5	7.48833E-5	9.58293E-5	8.1575E-5
0.04	5.016E-5	5.98333E-5	6.37627E-5	4.7285E-5	4.915E-5	6.03E-5	5.28917E-5
0.02	2.45467E-5	2.91E-5	3.05417E-5	2.3165E-5	2.40542E-5	3.03792E-5	2.5525E-5
0	-1.33333E-8	-1E-7	-1.08333E-7	-1.35E-7	-1.375E-7	-1.45833E-7	-1.75E-7
