0.7	0.00113	0.00119	0.00103	0.00141	0.00134	0.00215	0.00193	0.00185	0.00113	0.00109
0.72	0.00118	0.00123	0.00112	0.00145	0.00134	0.00266	0.00231	0.00181	0.00115	0.00113
0.74	0.00129	0.00132	0.0012	0.00153	0.00142	0.00273	0.00253	0.00186	0.00113	0.00131
0.76	0.00138	0.00138	0.00123	0.00172	0.00169	0.0028	0.00262	0.00207	0.00122	0.00134
0.78	0.00152	0.00145	0.00124	0.00169	0.00168	0.00291	0.0026	0.00234	0.00125	0.00141
0.8	0.00161	0.00152	0.00135	0.00182	0.0018	0.0026	0.00256	0.00215	0.00128	0.00159
0.82	0.00165	0.00169	0.00148	0.00204	0.00192	0.00319	0.00308	0.00245	0.00142	0.00165
0.84	0.00178	0.00172	0.00154	0.00211	0.00195	0.00277	0.003	0.00235	0.00153	0.00173
0.86	0.00191	0.00177	0.0016	0.00229	0.00199	0.00297	0.00315	0.00255	0.00161	0.00184
0.88	0.00195	0.00201	0.00166	0.00244	0.00218	0.00292	0.00314	0.0026	0.00176	0.00194
0.9	0.00198	0.00214	0.00174	0.00248	0.00221	0.00322	0.00348	0.00283	0.0018	0.00199
0.92	0.00214	0.00234	0.00181	0.00267	0.00242	0.00416	0.004	0.00302	0.00189	0.00208
0.94	0.00229	0.00246	0.0019	0.00284	0.00252	0.00423	0.00415	0.00319	0.00193	0.00226
0.96	0.00218	0.00255	0.002	0.00301	0.00274	0.00424	0.00407	0.0032	0.00221	0.00229
0.98	0.00232	0.00264	0.00212	0.00306	0.00266	0.00409	0.00422	0.00332	0.00228	0.00245
1	0.0025	0.0028	0.00218	0.00303	0.00273	0.00406	0.00423	0.00348	0.00257	0.0026
0.98	0.00246	0.00272	0.0021	0.00291	0.00271	0.00399	0.0039	0.00333	0.00259	0.00248
0.96	0.0023	0.00248	0.00198	0.00285	0.00242	0.0034	0.00364	0.00325	0.00246	0.00237
0.94	0.00222	0.00228	0.00195	0.00255	0.00239	0.00334	0.00353	0.00319	0.0022	0.00225
0.92	0.002	0.00224	0.00184	0.00254	0.00232	0.00326	0.00347	0.00323	0.00202	0.00202
0.9	0.00201	0.00209	0.00179	0.0023	0.00215	0.00329	0.00341	0.00303	0.00198	0.00192
0.88	0.00186	0.00203	0.00169	0.00216	0.00201	0.00293	0.0031	0.00274	0.00171	0.00178
0.86	0.00183	0.00191	0.00158	0.00209	0.00196	0.00302	0.00317	0.0027	0.00167	0.00169
0.84	0.00169	0.00169	0.00146	0.00197	0.00195	0.00287	0.00325	0.00264	0.00149	0.00162
0.82	0.0016	0.00161	0.00135	0.00184	0.0018	0.00245	0.00281	0.00226	0.00148	0.00157
0.8	0.0015	0.00154	0.00129	0.00185	0.00176	0.00281	0.0027	0.00231	0.00136	0.00143
0.78	0.00137	0.00152	0.00118	0.00175	0.00165	0.00233	0.00252	0.00203	0.00129	0.00135
0.76	0.00133	0.00143	0.00108	0.00161	0.00159	0.00257	0.00261	0.00194	0.00118	0.00126
0.74	0.00126	0.0014	0.00103	0.00163	0.00158	0.00197	0.00229	0.00193	0.00118	0.00116
0.72	0.00125	0.00137	9.73125E-4	0.00145	0.00142	0.0022	0.0024	0.00207	0.00109	0.0012
0.7	0.00112	0.00129	9.0675E-4	0.00137	0.00128	0.00184	0.00189	0.00165	9.90595E-4	0.00112
0.68	0.00109	0.00121	8.7727E-4	0.00136	0.00123	0.00177	0.00198	0.00154	9.2756E-4	0.00105
0.66	9.68225E-4	0.00106	7.97235E-4	0.00129	0.00117	0.00193	0.00199	0.0014	8.7582E-4	9.94385E-4
0.64	9.27135E-4	0.00108	7.65185E-4	0.00118	0.00112	0.00181	0.00178	0.00144	8.42105E-4	9.02025E-4
0.62	8.9074E-4	0.00103	7.2303E-4	0.00104	9.5179E-4	0.00154	0.00161	0.00135	7.95375E-4	8.03095E-4
0.6	8.48425E-4	9.1874E-4	6.6589E-4	9.5039E-4	9.028E-4	0.00143	0.00148	0.00132	7.33675E-4	7.43915E-4
0.58	8.44295E-4	7.96175E-4	6.0228E-4	8.07615E-4	8.5786E-4	0.00131	0.00145	0.00122	6.9016E-4	7.59225E-4
0.56	7.68215E-4	7.36455E-4	5.79255E-4	7.7771E-4	8.2094E-4	0.00115	0.00133	0.00106	6.29065E-4	7.4287E-4
0.54	7.42345E-4	7.37535E-4	5.49935E-4	7.2239E-4	7.7477E-4	0.0011	0.00126	9.82525E-4	5.70835E-4	6.2582E-4
0.52	6.6924E-4	6.83215E-4	5.05345E-4	7.1018E-4	7.6217E-4	0.00137	0.00127	9.33715E-4	5.4218E-4	5.75885E-4
0.5	6.08545E-4	6.35055E-4	4.4173E-4	6.30045E-4	6.6898E-4	9.9676E-4	0.00109	9.87905E-4	5.6695E-4	4.83935E-4
0.48	5.7297E-4	5.8183E-4	3.9879E-4	5.5144E-4	6.0178E-4	9.8683E-4	9.98415E-4	8.36875E-4	5.2128E-4	5.2049E-4
0.46	5.63405E-4	5.7098E-4	3.70745E-4	5.45035E-4	5.5992E-4	9.73E-4	9.62175E-4	7.1377E-4	4.79205E-4	4.84565E-4
0.44	5.2657E-4	5.1799E-4	3.3395E-4	5.2422E-4	5.1887E-4	8.8737E-4	9.4356E-4	6.5745E-4	4.902E-4	4.5079E-4
0.42	4.9156E-4	4.5454E-4	3.13055E-4	5.0081E-4	4.8569E-4	7.2365E-4	8.66825E-4	6.3913E-4	4.37695E-4	4.14525E-4
0.4	4.38335E-4	4.4602E-4	2.933E-4	4.34145E-4	4.2386E-4	7.0998E-4	8.1076E-4	5.53935E-4	4.1611E-4	3.995E-4
0.38	3.7801E-4	3.81535E-4	2.632E-4	3.7518E-4	3.778E-4	6.6846E-4	7.3498E-4	5.1443E-4	3.9064E-4	3.43525E-4
0.36	3.51605E-4	3.7676E-4	2.18985E-4	3.42735E-4	3.3065E-4	8.2176E-4	7.4638E-4	5.3687E-4	2.6514E-4	3.18325E-4
0.34	3.12765E-4	3.2161E-4	1.9538E-4	3.23655E-4	2.9242E-4	5.8899E-4	6.1996E-4	4.6843E-4	2.53385E-4	2.9509E-4
0.32	2.30045E-4	2.6665E-4	1.83845E-4	2.5311E-4	2.4451E-4	3.8343E-4	5.18915E-4	5.07865E-4	2.21335E-4	2.5566E-4
0.3	2.20965E-4	2.4822E-4	1.4984E-4	2.38815E-4	2.3339E-4	3.8572E-4	4.3772E-4	3.8945E-4	1.86675E-4	1.97905E-4
0.28	1.99355E-4	2.20165E-4	1.5201E-4	2.16955E-4	2.0493E-4	3.9362E-4	3.81875E-4	4.49845E-4	1.7627E-4	1.836E-4
0.26	1.70135E-4	2.06735E-4	1.42415E-4	1.88705E-4	1.7975E-4	3.0251E-4	3.90165E-4	3.1243E-4	2.05035E-4	1.6044E-4
0.24	1.4943E-4	1.6206E-4	1.07305E-4	1.8315E-4	1.6553E-4	2.164E-4	3.19395E-4	2.7268E-4	1.89545E-4	1.508E-4
0.22	1.3432E-4	1.45705E-4	9.66395E-5	1.5716E-4	1.4958E-4	2.3679E-4	2.9739E-4	2.63985E-4	1.7092E-4	1.3034E-4
0.2	1.171E-4	1.3029E-4	8.2078E-5	1.2119E-4	1.1118E-4	2.138E-4	2.8488E-4	1.7814E-4	1.3683E-4	1.21295E-4
0.18	1.01687E-4	1.07239E-4	7.8021E-5	1.01777E-4	9.8864E-5	1.763E-4	2.11995E-4	1.5158E-4	9.29535E-5	1.05385E-4
0.16	8.963E-5	9.15475E-5	6.3593E-5	8.97675E-5	8.2475E-5	2.6881E-4	2.4807E-4	1.35615E-4	1.09056E-4	8.88705E-5
