	Theory_X_data	Theory_Y_data
0	-1.0	-3.507730112146167
1	-0.98	-3.5379782408484495
2	-0.96	-3.5693228080053485
3	-0.94	-3.6015062939652247
4	-0.92	-3.634055750034411
5	-0.9	-3.667393791108758
6	-0.88	-3.701146820720235
7	-0.86	-3.7355046561244025
8	-0.84	-3.7705339069226316
9	-0.82	-3.8057080233489193
10	-0.8	-3.8417187102805075
11	-0.78	-3.878518097148452
12	-0.76	-3.9161225732695053
13	-0.74	-3.9547097518349896
14	-0.72	-3.9935864436746606
15	-0.7	-4.032897218145404
16	-0.68	-4.072654260182256
17	-0.66	-4.111560945496258
18	-0.64	-4.154142281219117
19	-0.62	-4.195897156924879
20	-0.6	-4.238152930691826
21	-0.58	-4.2830113578622475
22	-0.56	-4.325908317319685
23	-0.54	-4.368805326051695
24	-0.52	-4.414032026697298
25	-0.5	-4.4620349598470606
26	-0.48	-4.507679998558707
27	-0.46	-4.55577235086554
28	-0.44	-4.603398290185179
29	-0.42	-4.650392128007249
30	-0.4	-4.70466283174318
31	-0.38	-4.755289710822577
32	-0.36	-4.804664012985775
33	-0.34	-4.856095499665081
34	-0.32	-4.912607701132342
35	-0.3	-4.967460376192306
36	-0.28	-5.022893508682314
37	-0.26	-5.080719594168575
38	-0.24	-5.159565028009659
39	-0.22	-5.221716549587527
40	-0.2	-5.272272336454534
41	-0.18	-5.3431596533522585
42	-0.16	-5.4276769313158075
43	-0.14	-5.497322927587316
44	-0.12	-5.59866993702122
45	-0.1	-5.697068426650718
46	-0.08	-5.854242241306588
47	-0.06	-6.001204271053745
48	-0.04	-6.299680917245698
49	-0.02	-6.86336997395586
52	0.02	-6.843924496459448
53	0.04	-6.362430831419905
54	0.06	-6.073794646761222
55	0.08	-5.9927462633330935
56	0.1	-5.832247496650874
57	0.12	-5.749949826748537
58	0.14	-5.669761415540056
59	0.16	-5.598519585564645
60	0.18	-5.550061368478635
61	0.2	-5.523753426953084
62	0.22	-5.444439526094517
63	0.24	-5.404845402199256
64	0.26	-5.358682683085382
65	0.28	-5.321555419988026
66	0.3	-5.2744273843245475
67	0.32	-5.233868750929014
68	0.34	-5.192536930059037
69	0.36	-5.16032744306714
70	0.38	-5.127162258286196
71	0.4	-5.09317301359901
72	0.42	-5.0570894043127685
73	0.44	-5.02031067296885
74	0.46	-4.982007515230021
75	0.48	-4.9425822585500585
76	0.5	-4.904584105789637
77	0.52	-4.87790223863683
78	0.54	-4.844665871637683
79	0.56	-4.811275133865125
80	0.58	-4.773626837390738
81	0.6	-4.741169710194258
82	0.62	-4.71731264509692
83	0.64	-4.681149149484465
84	0.66	-4.64812418093797
85	0.68	-4.616897375469382
86	0.7	-4.584747127832335
87	0.72	-4.5515211768581425
88	0.74	-4.525259545178024
89	0.76	-4.496025600068765
90	0.78	-4.4647038220803905
91	0.8	-4.434726880283501
92	0.82	-4.405061163266228
93	0.84	-4.375514052212236
94	0.86	-4.349201990182398
95	0.88	-4.319955741746318
96	0.9	-4.292967581398272
97	0.92	-4.2644553045303795
98	0.94	-4.23614406143672
99	0.96	-4.208383876431503
100	0.98	-4.181375394378831
101	1.0	-4.155554529248885
102	0.98	-4.181375394378831
103	0.96	-4.208383876431503
104	0.94	-4.23614406143672
105	0.92	-4.2644553045303795
106	0.9	-4.292967581398272
107	0.88	-4.319955741746318
108	0.86	-4.349201990182398
109	0.84	-4.375514052212236
110	0.82	-4.405061163266228
111	0.8	-4.434726880283501
112	0.78	-4.4647038220803905
113	0.76	-4.496025600068765
114	0.74	-4.525259545178024
115	0.72	-4.5515211768581425
116	0.7	-4.584747127832335
117	0.68	-4.616897375469382
118	0.66	-4.64812418093797
119	0.64	-4.681149149484465
120	0.62	-4.71731264509692
121	0.6	-4.741169710194258
122	0.58	-4.773626837390738
123	0.56	-4.811275133865125
124	0.54	-4.844665871637683
125	0.52	-4.87790223863683
126	0.5	-4.904584105789637
127	0.48	-4.9425822585500585
128	0.46	-4.982007515230021
129	0.44	-5.02031067296885
130	0.42	-5.0570894043127685
131	0.4	-5.09317301359901
132	0.38	-5.127162258286196
133	0.36	-5.16032744306714
134	0.34	-5.192536930059037
135	0.32	-5.233868750929014
136	0.3	-5.2744273843245475
137	0.28	-5.321555419988026
138	0.26	-5.358682683085382
139	0.24	-5.404845402199256
140	0.22	-5.444439526094517
141	0.2	-5.523753426953084
142	0.18	-5.550061368478635
143	0.16	-5.598519585564645
144	0.14	-5.669761415540056
145	0.12	-5.749949826748537
146	0.1	-5.832247496650874
147	0.08	-5.9927462633330935
148	0.06	-6.073794646761222
149	0.04	-6.362430831419905
150	0.02	-6.843924496459448
152	-0.02	-6.86336997395586
153	-0.04	-6.299680917245698
154	-0.06	-6.001204271053745
155	-0.08	-5.854242241306588
156	-0.1	-5.697068426650718
157	-0.12	-5.59866993702122
158	-0.14	-5.497322927587316
159	-0.16	-5.4276769313158075
160	-0.18	-5.3431596533522585
161	-0.2	-5.272272336454534
162	-0.22	-5.221716549587527
163	-0.24	-5.159565028009659
164	-0.26	-5.080719594168575
165	-0.28	-5.022893508682314
166	-0.3	-4.967460376192306
167	-0.32	-4.912607701132342
168	-0.34	-4.856095499665081
169	-0.36	-4.804664012985775
170	-0.38	-4.755289710822577
171	-0.4	-4.70466283174318
172	-0.42	-4.650392128007249
173	-0.44	-4.603398290185179
174	-0.46	-4.55577235086554
175	-0.48	-4.507679998558707
176	-0.5	-4.4620349598470606
177	-0.52	-4.414032026697298
178	-0.54	-4.368805326051695
179	-0.56	-4.325908317319685
180	-0.58	-4.2830113578622475
181	-0.6	-4.238152930691826
182	-0.62	-4.195897156924879
183	-0.64	-4.154142281219117
184	-0.66	-4.111560945496258
185	-0.68	-4.072654260182256
186	-0.7	-4.032897218145404
187	-0.72	-3.9935864436746606
188	-0.74	-3.9547097518349896
189	-0.76	-3.9161225732695053
190	-0.78	-3.878518097148452
191	-0.8	-3.8417187102805075
192	-0.82	-3.8057080233489193
193	-0.84	-3.7705339069226316
194	-0.86	-3.7355046561244025
195	-0.88	-3.701146820720235
196	-0.9	-3.667393791108758
197	-0.92	-3.634055750034411
198	-0.94	-3.6015062939652247
199	-0.96	-3.5693228080053485
200	-0.98	-3.5379782408484495
