	Theory_X_data	Theory_Y_data
0	-1.0	-3.1122092920286657
1	-0.98	-3.1537427995758223
2	-0.96	-3.196536377407634
3	-0.94	-3.2405464021331225
4	-0.92	-3.2859092262172824
5	-0.9	-3.3326143581011176
6	-0.88	-3.3806006495909253
7	-0.86	-3.429916061077235
8	-0.84	-3.4805946911103227
9	-0.82	-3.5324899287886
10	-0.8	-3.585682164285126
11	-0.78	-3.6401432629285604
12	-0.76	-3.696050549743773
13	-0.74	-3.7533240480315357
14	-0.72	-3.811918999023451
15	-0.7	-3.8717857924522745
16	-0.68	-3.933162398000493
17	-0.66	-3.995333243634273
18	-0.64	-4.059002612777362
19	-0.62	-4.124455925859376
20	-0.6	-4.190618357931169
21	-0.58	-4.258126165928372
22	-0.56	-4.327573289285786
23	-0.54	-4.396486120311996
24	-0.52	-4.468704195824572
25	-0.5	-4.5410747568789995
26	-0.48	-4.614977439707329
27	-0.46	-4.689423353344618
28	-0.44	-4.766518525159602
29	-0.42	-4.84113523536228
30	-0.4	-4.9190162870548235
31	-0.38	-4.9990551126399865
32	-0.36	-5.081782905742617
33	-0.34	-5.162999945647643
34	-0.32	-5.243896563037893
35	-0.3	-5.324968313783016
36	-0.28	-5.409236042494535
37	-0.26	-5.496859917203361
38	-0.24	-5.588865810683112
39	-0.22	-5.675914487251416
40	-0.2	-5.769794499570022
41	-0.18	-5.8715057001944855
42	-0.16	-5.962622615661569
43	-0.14	-6.082201413620453
44	-0.12	-6.209873032147266
45	-0.1	-6.4806327017360426
46	-0.08	-6.604035453332745
47	-0.06	-6.561556721458133
48	-0.04	-6.888707359907901
49	-0.02	-7.240970365442468
52	0.02	-7.337666296126651
53	0.04	-6.947286555999698
54	0.06	-6.830795086697984
55	0.08	-6.619683009692357
56	0.1	-6.627833551957963
57	0.12	-6.432685576598825
58	0.14	-6.374745982387976
59	0.16	-6.435217711382256
60	0.18	-6.220882880466145
61	0.2	-6.140736995116753
62	0.22	-6.066311212246204
63	0.24	-5.984007141241944
64	0.26	-5.918775151449058
65	0.28	-5.852745786170275
66	0.3	-5.798693770218922
67	0.32	-5.752603134593676
68	0.34	-5.691488465269377
69	0.36	-5.642098747568054
70	0.38	-5.586850369560291
71	0.4	-5.543984325204264
72	0.42	-5.4894800774891666
73	0.44	-5.437735916930279
74	0.46	-5.389577328768646
75	0.48	-5.342681981217269
76	0.5	-5.295378115935806
77	0.52	-5.242397554869737
78	0.54	-5.194290514665237
79	0.56	-5.151672996407154
80	0.58	-5.102958526479865
81	0.6	-5.053232914384723
82	0.62	-5.0051536311665075
83	0.64	-4.957325182004869
84	0.66	-4.913530005584193
85	0.68	-4.868428826749268
86	0.7	-4.824119205307664
87	0.72	-4.773712946885212
88	0.74	-4.727919132896438
89	0.76	-4.682957147539679
90	0.78	-4.63786110296481
91	0.8	-4.5929205804205795
92	0.82	-4.549223981494353
93	0.84	-4.50635432464218
94	0.86	-4.461855152097734
95	0.88	-4.419373317605179
96	0.9	-4.3769494466122385
97	0.92	-4.333844073416849
98	0.94	-4.293709344021936
99	0.96	-4.251381921228055
100	0.98	-4.210942415860566
101	1.0	-4.170063955618179
102	0.98	-4.210942415860566
103	0.96	-4.251381921228055
104	0.94	-4.293709344021936
105	0.92	-4.333844073416849
106	0.9	-4.3769494466122385
107	0.88	-4.419373317605179
108	0.86	-4.461855152097734
109	0.84	-4.50635432464218
110	0.82	-4.549223981494353
111	0.8	-4.5929205804205795
112	0.78	-4.63786110296481
113	0.76	-4.682957147539679
114	0.74	-4.727919132896438
115	0.72	-4.773712946885212
116	0.7	-4.824119205307664
117	0.68	-4.868428826749268
118	0.66	-4.913530005584193
119	0.64	-4.957325182004869
120	0.62	-5.0051536311665075
121	0.6	-5.053232914384723
122	0.58	-5.102958526479865
123	0.56	-5.151672996407154
124	0.54	-5.194290514665237
125	0.52	-5.242397554869737
126	0.5	-5.295378115935806
127	0.48	-5.342681981217269
128	0.46	-5.389577328768646
129	0.44	-5.437735916930279
130	0.42	-5.4894800774891666
131	0.4	-5.543984325204264
132	0.38	-5.586850369560291
133	0.36	-5.642098747568054
134	0.34	-5.691488465269377
135	0.32	-5.752603134593676
136	0.3	-5.798693770218922
137	0.28	-5.852745786170275
138	0.26	-5.918775151449058
139	0.24	-5.984007141241944
140	0.22	-6.066311212246204
141	0.2	-6.140736995116753
142	0.18	-6.220882880466145
143	0.16	-6.435217711382256
144	0.14	-6.374745982387976
145	0.12	-6.432685576598825
146	0.1	-6.627833551957963
147	0.08	-6.619683009692357
148	0.06	-6.830795086697984
149	0.04	-6.947286555999698
150	0.02	-7.337666296126651
152	-0.02	-7.240970365442468
153	-0.04	-6.888707359907901
154	-0.06	-6.561556721458133
155	-0.08	-6.604035453332745
156	-0.1	-6.4806327017360426
157	-0.12	-6.209873032147266
158	-0.14	-6.082201413620453
159	-0.16	-5.962622615661569
160	-0.18	-5.8715057001944855
161	-0.2	-5.769794499570022
162	-0.22	-5.675914487251416
163	-0.24	-5.588865810683112
164	-0.26	-5.496859917203361
165	-0.28	-5.409236042494535
166	-0.3	-5.324968313783016
167	-0.32	-5.243896563037893
168	-0.34	-5.162999945647643
169	-0.36	-5.081782905742617
170	-0.38	-4.9990551126399865
171	-0.4	-4.9190162870548235
172	-0.42	-4.84113523536228
173	-0.44	-4.766518525159602
174	-0.46	-4.689423353344618
175	-0.48	-4.614977439707329
176	-0.5	-4.5410747568789995
177	-0.52	-4.468704195824572
178	-0.54	-4.396486120311996
179	-0.56	-4.327573289285786
180	-0.58	-4.258126165928372
181	-0.6	-4.190618357931169
182	-0.62	-4.124455925859376
183	-0.64	-4.059002612777362
184	-0.66	-3.995333243634273
185	-0.68	-3.933162398000493
186	-0.7	-3.8717857924522745
187	-0.72	-3.811918999023451
188	-0.74	-3.7533240480315357
189	-0.76	-3.696050549743773
190	-0.78	-3.6401432629285604
191	-0.8	-3.585682164285126
192	-0.82	-3.5324899287886
193	-0.84	-3.4805946911103227
194	-0.86	-3.429916061077235
195	-0.88	-3.3806006495909253
196	-0.9	-3.3326143581011176
197	-0.92	-3.2859092262172824
198	-0.94	-3.2405464021331225
199	-0.96	-3.196536377407634
200	-0.98	-3.1537427995758223
