par	 gL	        gR         deltaE         eta        sigma     gC    
300      1.50e-02       1.50e-02   0.657          0.660      0.11      2.25e-04 
290      1.40e-02       1.40e-02   0.658          0.660      0.12      1.96e-04           
280      1.35e-02       1.35e-02   0.669          0.669      0.13      1.82e-04 
270      1.21e-02       1.21e-02   0.656          0.663      0.13      1.46e-04  
260      1.24e-02       1.24e-02   0.670          0.667      0.14      1.54e-04 
250      1.12e-02       1.12e-02   0.666          0.662      0.146     1.25e-04 
240      1.02e-02       1.02e-02   0.667          0.656      0.148     1.04e-04 
230      8.5e-03        8.50e-03   0.681          0.647      0.15      7.22e-05 
220      7.88e-03       7.53e-03   0.687          0.651      0.15      5.93e-05
210      7.0e-03        7.0e-03    0.679          0.644      0.15      4.9e-05 
200      7.31e-03       7.48e-03   0.707          0.648      0.16      5.47e-05
180      6.68e-03        6.68e-03   0.697          0.641     0.16      4.46e-05 
150      6.24e-03       6.26e-03    0.696          0.6358     0.16     3.90e-05 

