0.48	2.6865E-5	2.7659E-5	2.7191E-5	2.2098E-5	2.0263E-5	1.7763E-5	1.7628E-5	1.8791E-5	1.8062E-5	1.7589E-5	1.7589E-5	1.6674E-5	1.6763E-5	1.6505E-5
0.5	2.9007E-5	3.1043E-5	2.8906E-5	2.3907E-5	2.1726E-5	1.929E-5	1.98E-5	2.0898E-5	1.9853E-5	1.9672E-5	1.9672E-5	1.8495E-5	1.9497E-5	1.8104E-5
0.52	3.2444E-5	3.2237E-5	3.1614E-5	2.6481E-5	2.3521E-5	2.0992E-5	2.1087E-5	2.252E-5	2.2288E-5	2.2169E-5	2.2169E-5	2.0506E-5	2.0745E-5	2.0228E-5
0.54	3.3923E-5	3.473E-5	3.3411E-5	2.821E-5	2.7346E-5	2.3314E-5	2.295E-5	2.4882E-5	2.4189E-5	2.3772E-5	2.3772E-5	2.2887E-5	2.3627E-5	2.2062E-5
0.56	3.6365E-5	3.8128E-5	3.5657E-5	3.1394E-5	2.9586E-5	2.5026E-5	2.6236E-5	2.6675E-5	2.6797E-5	2.6374E-5	2.6374E-5	2.4815E-5	2.5743E-5	2.4175E-5
0.58	3.9851E-5	3.8352E-5	3.8739E-5	3.4148E-5	3.256E-5	2.7472E-5	3.0397E-5	2.926E-5	2.8805E-5	2.8979E-5	2.8979E-5	2.717E-5	2.8144E-5	2.654E-5
0.6	4.3042E-5	4.0014E-5	4.2299E-5	3.6627E-5	3.4479E-5	2.9665E-5	3.0872E-5	3.187E-5	3.1068E-5	3.1161E-5	3.1161E-5	3.0211E-5	2.9931E-5	2.9085E-5
0.62	4.675E-5	4.7422E-5	4.4457E-5	3.9348E-5	3.8503E-5	3.2627E-5	3.5076E-5	3.4511E-5	3.4033E-5	3.439E-5	3.439E-5	3.2826E-5	3.3758E-5	3.1587E-5
0.64	5.0843E-5	4.8916E-5	4.6743E-5	4.3087E-5	4.2363E-5	3.5423E-5	3.8009E-5	3.7687E-5	3.8439E-5	3.7284E-5	3.7284E-5	3.56E-5	3.7249E-5	3.415E-5
0.66	5.673E-5	5.2098E-5	5.1087E-5	4.6415E-5	4.4894E-5	3.8966E-5	4.2751E-5	4.1724E-5	4.1552E-5	4.1501E-5	4.1501E-5	3.8858E-5	4.0898E-5	3.8026E-5
