E	l	cap	A	W	T0	T1	error
-8.602457e-01	8.505133e-01	1.642492e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602456e-01	8.505133e-01	1.642492e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602456e-01	8.505133e-01	1.642492e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602456e-01	8.505133e-01	1.642492e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602456e-01	8.505133e-01	1.642492e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602430e-01	8.505080e-01	1.642097e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89284
-8.602481e-01	8.505361e-01	1.642514e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602481e-01	8.505361e-01	1.642514e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602481e-01	8.505361e-01	1.642514e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602481e-01	8.505361e-01	1.642514e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602481e-01	8.505361e-01	1.642514e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602481e-01	8.505361e-01	1.642514e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602590e-01	8.505509e-01	1.642332e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89277
-8.602506e-01	8.505386e-01	1.642467e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602506e-01	8.505386e-01	1.642467e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602506e-01	8.505386e-01	1.642467e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602506e-01	8.505386e-01	1.642467e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602506e-01	8.505386e-01	1.642467e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602506e-01	8.505386e-01	1.642467e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602671e-01	8.505538e-01	1.642491e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602671e-01	8.505538e-01	1.642491e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602671e-01	8.505538e-01	1.642491e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602671e-01	8.505538e-01	1.642491e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602671e-01	8.505538e-01	1.642491e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602671e-01	8.505538e-01	1.642491e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602686e-01	8.505933e-01	1.642531e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602686e-01	8.505933e-01	1.642531e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602686e-01	8.505934e-01	1.642531e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602686e-01	8.505933e-01	1.642531e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602686e-01	8.505933e-01	1.642531e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602686e-01	8.505933e-01	1.642531e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602783e-01	8.505768e-01	1.642524e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602783e-01	8.505768e-01	1.642524e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602783e-01	8.505768e-01	1.642524e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602783e-01	8.505768e-01	1.642524e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602783e-01	8.505768e-01	1.642524e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602783e-01	8.505768e-01	1.642524e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
