E	l	cap	A	W	T0	T1	error
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.69638
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.69638
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.69638
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.69638
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.69638
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	2.69638
-6.982195e-01	6.889927e-01	1.793095e+00	-8.639375e-01	6.720147e-01	2.980000e+02	3.000000e+02	2.11651
-6.982195e-01	6.889927e-01	1.793095e+00	-8.639375e-01	6.720147e-01	2.980000e+02	3.000000e+02	2.11651
-6.982195e-01	6.889927e-01	1.793095e+00	-8.639375e-01	6.720147e-01	2.980000e+02	3.000000e+02	2.11651
-6.982195e-01	6.889927e-01	1.793095e+00	-8.639375e-01	6.720147e-01	2.980000e+02	3.000000e+02	2.11651
-6.982195e-01	6.889927e-01	1.793095e+00	-8.639375e-01	6.720147e-01	2.980000e+02	3.000000e+02	2.11651
-6.982195e-01	6.889927e-01	1.793095e+00	-8.639375e-01	6.720147e-01	2.980000e+02	3.000000e+02	2.11651
-6.337800e-01	6.346096e-01	1.799829e+00	-8.690966e-01	9.798942e-01	2.980000e+02	3.000000e+02	1.78030
-6.337800e-01	6.346096e-01	1.799829e+00	-8.690966e-01	9.798942e-01	2.980000e+02	3.000000e+02	1.78030
-6.337800e-01	6.346096e-01	1.799829e+00	-8.690966e-01	9.798942e-01	2.980000e+02	3.000000e+02	1.78030
-6.337800e-01	6.346096e-01	1.799829e+00	-8.690966e-01	9.798942e-01	2.980000e+02	3.000000e+02	1.78030
-6.337800e-01	6.346096e-01	1.799829e+00	-8.690966e-01	9.798942e-01	2.980000e+02	3.000000e+02	1.78030
-6.337800e-01	6.346096e-01	1.799829e+00	-8.690966e-01	9.798942e-01	2.980000e+02	3.000000e+02	1.78030
-6.209167e-01	6.494660e-01	1.685220e+00	-9.955889e-01	9.821938e-01	2.980000e+02	3.000000e+02	1.72323
-6.209167e-01	6.494660e-01	1.685220e+00	-9.955889e-01	9.821938e-01	2.980000e+02	3.000000e+02	1.72323
-6.209167e-01	6.494660e-01	1.685220e+00	-9.955889e-01	9.821938e-01	2.980000e+02	3.000000e+02	1.72323
-6.209167e-01	6.494660e-01	1.685220e+00	-9.955889e-01	9.821938e-01	2.980000e+02	3.000000e+02	1.72323
