V	Ea
1.0	-4.70469
0.98	-7.69317
0.96	-10.02119
0.94	-8.98732
0.92	-10.1159
0.9	-6.83004
0.88	-5.66806
0.86	-8.85762
0.84	-7.94794
0.82	-8.8835
0.8	-10.08611
0.78	-9.38179
0.76	-11.91034
0.74	-10.03682
0.72	-8.60531
0.7	-7.76614
0.68	-3.91632
0.66	-2.16235
0.64	-2.17512
0.62	-5.72652
0.6	-3.22792
0.58	-4.86564
0.56	-3.25667
0.54	-6.52931
0.52	-4.47619
0.5	-2.20223
0.48	-0.59417
0.46	-2.86081
0.44	-2.19356
0.42	-4.76912
0.4	-2.95596
0.38	2.41399
0.36	-0.50424
0.34	0.66969
0.32	-1.51102
0.3	-2.81833
0.28	-2.08571
0.26	1.59961
0.24	0.00858
0.22	0.91338
0.2	-0.98586
