V	Ea
1.08	1.5517
1.056	0.32732
1.032	1.11829
1.008	1.28658
0.984	0.99831
0.96	0.88006
0.936	0.79949
0.912	0.83913
0.888	0.58712
0.864	0.43519
0.84	0.48289
0.816	0.31797
0.792	0.28159
0.768	0.10456
0.744	0.10654
0.72	0.29689
0.696	0.43132
0.672	0.36012
0.648	0.21481
0.624	0.58367
0.6	0.61847
0.576	0.40995
0.552	0.50007
0.528	1.29439
0.504	1.45098
0.48	1.60057
0.456	1.40497
0.432	1.48753
0.408	1.92416
0.384	1.75952
0.36	2.16399
0.336	2.20289
0.312	2.5052
0.288	2.71803
0.264	3.23289
0.24	3.27266
0.216	4.22693
