V	Ea
-0.2	-10.48928
-0.22	-11.72951
-0.24	-12.44819
-0.26	-11.30466
-0.28	-12.58235
-0.3	-10.11372
-0.32	-10.21149
-0.34	-17.39904
-0.36	-14.72533
-0.38	-14.10282
-0.4	-11.83784
-0.42	-7.72359
-0.44	-9.40422
-0.46	-11.02078
-0.48	-7.21679
-0.5	-8.10143
-0.52	-4.62513
-0.54	-7.56437
-0.56	-8.30411
-0.58	-7.82237
-0.6	-6.98229
-0.62	-7.70888
-0.64	-11.36488
-0.66	-10.34577
-0.68	-10.96371
-0.7	-6.23195
-0.72	-6.76578
-0.74	-6.38339
-0.76	-8.54099
-0.78	-8.54299
-0.8	-10.37806
-0.82	-8.52099
-0.84	-6.28176
-0.86	-5.96942
-0.88	-6.06322
-0.9	-9.70782
-0.92	-7.67385
-0.94	-5.88698
-0.96	-6.82383
-0.98	-7.16105
-1.0	-9.12783
