V	Ea
-0.2	38.1781
-0.22	24.56232
-0.24	26.64897
-0.26	22.556
-0.28	23.59378
-0.3	31.75589
-0.32	27.79403
-0.34	23.28113
-0.36	19.57195
-0.38	21.53215
-0.4	17.91448
-0.42	20.21546
-0.44	18.2041
-0.46	16.74425
-0.48	13.99184
-0.5	13.37555
-0.52	14.28495
-0.54	14.43629
-0.56	16.71239
-0.58	14.77661
-0.6	14.76119
-0.62	13.65382
-0.64	12.05542
-0.66	13.50207
-0.68	13.61897
-0.7	13.46788
-0.72	13.01041
-0.74	-0.94619
-0.76	-0.31402
-0.78	51.57121
-0.8	18.8144
-0.82	15.63073
-0.84	17.87954
-0.86	17.09478
-0.88	18.68721
-0.9	18.67814
-0.92	19.46797
-0.94	19.75132
-0.96	19.75374
-0.98	19.29873
-1.0	21.26271
