V	Ea
-0.216	5.88054
-0.24	5.90611
-0.264	5.56009
-0.288	5.05112
-0.312	5.10382
-0.336	5.08048
-0.36	5.11935
-0.384	5.21322
-0.408	5.18645
-0.432	4.93856
-0.456	5.22949
-0.48	5.54031
-0.504	5.86678
-0.528	6.76833
-0.552	7.22517
-0.576	7.96084
-0.6	9.31255
-0.624	10.25218
-0.648	11.55513
-0.672	12.71112
-0.696	13.80362
-0.72	15.25965
-0.744	16.99205
-0.768	18.48685
-0.792	19.67685
-0.816	21.20821
-0.84	22.14859
-0.864	23.09343
-0.888	24.23967
-0.912	25.13042
-0.936	25.94777
-0.96	26.42891
-0.984	26.61554
-1.008	27.10682
