V	Ea
-0.2	8.12394
-0.22	9.78309
-0.24	12.57571
-0.26	11.8245
-0.28	15.42729
-0.3	17.46977
-0.32	20.39491
-0.34	22.86674
-0.36	24.20909
-0.38	27.50092
-0.4	29.79043
-0.42	30.85403
-0.44	32.85479
-0.46	16.09577
-0.48	33.50184
-0.5	28.94746
-0.54	39.34194
-0.56	39.34937
-0.58	40.70958
-0.6	41.41121
-0.62	41.68997
-0.64	42.89731
-0.66	43.18686
-0.68	43.86797
-0.7	44.58309
-0.72	44.85913
-0.74	44.69021
-0.76	45.45828
-0.78	44.66851
-0.8	44.26067
-0.82	43.9652
-0.84	43.85998
-0.86	40.54275
-0.88	39.98471
-0.9	39.24162
-0.92	39.44055
-0.94	38.51893
-0.96	37.91789
-0.98	36.18648
-1.0	36.70844
