	volt	Ea
0	-0.21600000000000003	5.88054
1	-0.24	5.90611
2	-0.264	5.56009
3	-0.28800000000000003	5.05112
4	-0.312	5.10382
5	-0.336	5.0804800000000006
6	-0.36	5.11935
7	-0.384	5.21322
8	-0.408	5.18645
9	-0.43200000000000005	4.93856
10	-0.456	5.22949
11	-0.48	5.54031
12	-0.504	5.86678
13	-0.528	6.768330000000001
14	-0.552	7.225169999999999
15	-0.5760000000000001	7.960839999999999
16	-0.6	9.31255
17	-0.624	10.252180000000001
18	-0.648	11.55513
19	-0.672	12.71112
20	-0.696	13.80362
21	-0.72	15.25965
22	-0.7440000000000001	16.99205
23	-0.768	18.48685
24	-0.792	19.67685
25	-0.816	21.20821
26	-0.84	22.14859
27	-0.8640000000000001	23.093429999999998
28	-0.888	24.23967
29	-0.912	25.13042
30	-0.9359999999999999	25.947770000000002
31	-0.96	26.42891
32	-0.9840000000000001	26.615540000000003
33	-1.008	27.106820000000003
