	volt	Ea
0	-0.2	4.5715699999999995
1	-0.22	5.66009
2	-0.24	4.88443
3	-0.26	5.0037
4	-0.28	3.7067900000000003
5	-0.3	3.70873
6	-0.32	4.149430000000001
7	-0.34	4.1837
8	-0.36	3.70422
9	-0.38	4.37091
10	-0.4	3.09028
11	-0.42	3.8306699999999996
12	-0.44	4.0318
13	-0.46	3.8219300000000005
14	-0.48	3.86498
15	-0.5	3.8004
16	-0.52	3.2553900000000002
17	-0.54	3.4421199999999996
18	-0.56	2.7012099999999997
19	-0.58	3.5244199999999997
20	-0.6	3.4024
21	-0.62	3.07248
22	-0.64	2.75671
23	-0.66	2.47565
24	-0.68	1.91018
25	-0.7	1.6827
26	-0.72	1.43441
27	-0.74	1.38113
28	-0.76	0.62647
29	-0.78	1.66377
30	-0.8	0.6671199999999999
31	-0.82	1.54322
32	-0.84	1.31595
33	-0.86	0.9199799999999999
