	volt	Ea
0	1.08	1.5517
1	1.056	0.32732
2	1.032	1.11829
3	1.008	1.2865799999999998
4	0.9840000000000001	0.99831
5	0.96	0.8800600000000001
6	0.9359999999999999	0.7994899999999999
7	0.912	0.8391299999999999
8	0.888	0.58712
9	0.8640000000000001	0.43518999999999997
10	0.84	0.48289
11	0.816	0.31797
12	0.792	0.28159
13	0.768	0.10455999999999999
14	0.7440000000000001	0.10654000000000001
15	0.72	0.29689
16	0.696	0.43132
17	0.672	0.36012
18	0.648	0.21481
19	0.624	0.58367
20	0.6	0.61847
21	0.5760000000000001	0.40995
22	0.552	0.50007
23	0.528	1.29439
24	0.504	1.45098
25	0.48	1.60057
26	0.456	1.40497
27	0.43200000000000005	1.48753
28	0.408	1.9241599999999999
29	0.384	1.75952
30	0.36	2.16399
31	0.336	2.20289
32	0.312	2.5052
33	0.28800000000000003	2.7180299999999997
34	0.264	3.2328900000000003
35	0.24	3.2726599999999997
36	0.21600000000000003	4.22693
