	volt	Ea
0	1.0	4.61104
1	0.98	5.126469999999999
2	0.96	5.12574
3	0.94	6.736339999999999
4	0.92	6.676260000000001
5	0.9	4.92929
6	0.88	4.74372
7	0.86	4.2965
8	0.84	3.00263
9	0.82	2.84035
10	0.8	3.71069
11	0.78	1.30961
12	0.76	3.97631
13	0.74	5.29646
14	0.72	5.4732199999999995
15	0.7	4.5348
16	0.68	5.58533
17	0.66	5.9820400000000005
18	0.64	6.45086
19	0.62	4.89358
20	0.6	4.88021
21	0.58	4.217569999999999
22	0.56	5.09662
23	0.54	5.394
24	0.52	5.58769
25	0.5	4.42591
26	0.48	4.62164
27	0.46	3.72274
28	0.44	2.81298
29	0.42	3.0446400000000002
30	0.4	3.6166099999999997
31	0.38	2.9512400000000003
32	0.36	3.2492900000000002
33	0.34	3.0129099999999998
34	0.32	2.39882
35	0.3	2.45269
36	0.28	2.83128
