0	1.8462E-7	2.0892E-7	1.6449E-7	1.6427E-7	1.3799E-7	1.4222E-7	1.2522E-7	1.3155E-7	1.3407E-7	1.2961E-7	1.2772E-7	1.2871E-7	1.2652E-7	1.1601E-7	1.085E-7	1.1658E-7	1.2212E-7	1.4845E-7	1.2579E-7
0.02	1.4217E-6	1.5058E-6	1.4543E-6	1.4192E-6	1.3376E-6	1.4022E-6	1.3875E-6	1.3347E-6	1.4092E-6	1.4005E-6	1.3201E-6	1.3934E-6	1.3823E-6	1.3744E-6	1.3194E-6	1.3869E-6	1.3814E-6	1.4261E-6	1.425E-6
0.04	1.5402E-6	1.4803E-6	1.5005E-6	1.4867E-6	1.4784E-6	1.465E-6	1.4518E-6	1.3825E-6	1.3808E-6	1.4608E-6	1.3591E-6	1.4554E-6	1.454E-6	1.3571E-6	1.3557E-6	1.4383E-6	1.4204E-6	1.4755E-6	1.3763E-6
0.06	1.495E-6	1.5222E-6	1.5563E-6	1.4433E-6	1.4274E-6	1.4412E-6	1.4729E-6	1.4207E-6	1.4833E-6	1.5022E-6	1.396E-6	1.4151E-6	1.395E-6	1.4667E-6	1.4603E-6	1.4614E-6	1.3967E-6	1.4122E-6	1.4766E-6
0.08	1.6064E-6	1.5527E-6	1.5977E-6	1.5585E-6	1.5457E-6	1.4632E-6	1.5088E-6	1.5374E-6	1.5245E-6	1.4188E-6	1.503E-6	1.4307E-6	1.4223E-6	1.4897E-6	1.4092E-6	1.4788E-6	1.4888E-6	1.5211E-6	1.4357E-6
0.1	1.6793E-6	1.6997E-6	1.6368E-6	1.6159E-6	1.5733E-6	1.5766E-6	1.4572E-6	1.489E-6	1.552E-6	1.5506E-6	1.4514E-6	1.5652E-6	1.5381E-6	1.4577E-6	1.5387E-6	1.4607E-6	1.5302E-6	1.5634E-6	1.5468E-6
0.12	1.6317E-6	1.6551E-6	1.5906E-6	1.6585E-6	1.6115E-6	1.63E-6	1.58E-6	1.5273E-6	1.5998E-6	1.6007E-6	1.5606E-6	1.5049E-6	1.5839E-6	1.5015E-6	1.5008E-6	1.5748E-6	1.4895E-6	1.531E-6	1.5243E-6
0.14	1.7769E-6	1.7092E-6	1.7352E-6	1.6826E-6	1.6681E-6	1.7029E-6	1.5632E-6	1.5718E-6	1.5707E-6	1.6355E-6	1.5321E-6	1.6337E-6	1.6111E-6	1.6191E-6	1.5414E-6	1.5407E-6	1.5363E-6	1.6444E-6	1.6243E-6
0.16	1.8196E-6	1.8751E-6	1.7075E-6	1.6839E-6	1.7304E-6	1.7513E-6	1.7026E-6	1.6397E-6	1.6183E-6	1.6995E-6	1.5954E-6	1.7037E-6	1.6774E-6	1.6687E-6	1.6776E-6	1.573E-6	1.6601E-6	1.6077E-6	1.6712E-6
0.18	1.8935E-6	1.9166E-6	1.8726E-6	1.7771E-6	1.791E-6	1.7964E-6	1.7631E-6	1.6954E-6	1.7598E-6	1.7492E-6	1.7307E-6	1.6608E-6	1.7504E-6	1.7319E-6	1.7431E-6	1.7158E-6	1.6485E-6	1.7499E-6	1.6585E-6
