Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
5.000000e+00	7.000000e-01	1.570000e-01	-1.270000e+00	-1.125000e+00	9.450000e-01	2.980000e+02	3.000000e+02	2.16673
5.000000e+00	7.000000e-01	1.570000e-01	-1.270000e+00	-1.125000e+00	9.450000e-01	2.980000e+02	3.000000e+02	2.16673
5.000000e+00	7.000000e-01	1.570000e-01	-1.270000e+00	-1.125000e+00	9.450000e-01	2.980000e+02	3.000000e+02	2.16673
5.000000e+00	7.000000e-01	1.570000e-01	-1.270000e+00	-1.125000e+00	9.450000e-01	2.980000e+02	3.000000e+02	2.16673
5.000000e+00	7.000000e-01	1.570000e-01	-1.270000e+00	-1.125000e+00	9.450000e-01	2.980000e+02	3.000000e+02	2.16673
5.000000e+00	7.000000e-01	1.570000e-01	-1.270000e+00	-1.125000e+00	9.450000e-01	2.980000e+02	3.000000e+02	2.16673
4.739248e+00	7.000000e-01	1.488124e-01	-1.203769e+00	-1.144556e+00	8.957179e-01	2.980000e+02	3.000000e+02	1.71177
4.739248e+00	7.000000e-01	1.488124e-01	-1.203769e+00	-1.144556e+00	8.957179e-01	2.980000e+02	3.000000e+02	1.71177
4.739248e+00	7.000000e-01	1.488124e-01	-1.203769e+00	-1.144556e+00	8.957179e-01	2.980000e+02	3.000000e+02	1.71177
4.739248e+00	7.000000e-01	1.488124e-01	-1.203769e+00	-1.144556e+00	8.957179e-01	2.980000e+02	3.000000e+02	1.71177
4.739248e+00	7.000000e-01	1.488124e-01	-1.203769e+00	-1.144556e+00	8.957179e-01	2.980000e+02	3.000000e+02	1.71177
4.739248e+00	7.000000e-01	1.488124e-01	-1.203769e+00	-1.144556e+00	8.957179e-01	2.980000e+02	3.000000e+02	1.71177
4.983708e+00	7.000000e-01	1.418973e-01	-1.147832e+00	-1.161073e+00	8.540952e-01	2.980000e+02	3.000000e+02	1.22397
4.983708e+00	7.000000e-01	1.418973e-01	-1.147832e+00	-1.161073e+00	8.540952e-01	2.980000e+02	3.000000e+02	1.22397
4.983708e+00	7.000000e-01	1.418973e-01	-1.147832e+00	-1.161073e+00	8.540952e-01	2.980000e+02	3.000000e+02	1.22397
4.983708e+00	7.000000e-01	1.418973e-01	-1.147832e+00	-1.161073e+00	8.540952e-01	2.980000e+02	3.000000e+02	1.22397
4.983708e+00	7.000000e-01	1.418973e-01	-1.147832e+00	-1.161073e+00	8.540952e-01	2.980000e+02	3.000000e+02	1.22397
4.983708e+00	7.000000e-01	1.418973e-01	-1.147832e+00	-1.161073e+00	8.540952e-01	2.980000e+02	3.000000e+02	1.22397
5.152096e+00	7.000000e-01	1.371341e-01	-1.109301e+00	-1.172451e+00	8.254247e-01	2.980000e+02	3.000000e+02	1.23733
4.988005e+00	7.000000e-01	1.359619e-01	-1.132918e+00	-1.165001e+00	8.484822e-01	2.980000e+02	3.000000e+02	1.11963
4.988005e+00	7.000000e-01	1.359619e-01	-1.132918e+00	-1.165001e+00	8.484822e-01	2.980000e+02	3.000000e+02	1.11963
4.988005e+00	7.000000e-01	1.359619e-01	-1.132918e+00	-1.165001e+00	8.484822e-01	2.980000e+02	3.000000e+02	1.11963
4.988005e+00	7.000000e-01	1.359619e-01	-1.132918e+00	-1.165001e+00	8.484822e-01	2.980000e+02	3.000000e+02	1.11963
4.988005e+00	7.000000e-01	1.359619e-01	-1.132918e+00	-1.165001e+00	8.484822e-01	2.980000e+02	3.000000e+02	1.11963
4.988005e+00	7.000000e-01	1.359619e-01	-1.132918e+00	-1.165001e+00	8.484822e-01	2.980000e+02	3.000000e+02	1.11963
4.994780e+00	7.000000e-01	2.046147e-01	-1.135089e+00	-1.164860e+00	8.435845e-01	2.980000e+02	3.000000e+02	1.83043
4.989690e+00	7.000000e-01	1.531279e-01	-1.133460e+00	-1.164966e+00	8.472589e-01	2.980000e+02	3.000000e+02	1.29237
4.988426e+00	7.000000e-01	1.402535e-01	-1.133053e+00	-1.164992e+00	8.481764e-01	2.980000e+02	3.000000e+02	1.13423
4.988110e+00	7.000000e-01	1.370348e-01	-1.132952e+00	-1.164999e+00	8.484058e-01	2.980000e+02	3.000000e+02	1.12005
4.988031e+00	7.000000e-01	1.362301e-01	-1.132926e+00	-1.165001e+00	8.484631e-01	2.980000e+02	3.000000e+02	1.11952
4.988031e+00	7.000000e-01	1.362301e-01	-1.132926e+00	-1.165001e+00	8.484631e-01	2.980000e+02	3.000000e+02	1.11952
4.988031e+00	7.000000e-01	1.362301e-01	-1.132926e+00	-1.165001e+00	8.484631e-01	2.980000e+02	3.000000e+02	1.11952
4.988031e+00	7.000000e-01	1.362301e-01	-1.132926e+00	-1.165001e+00	8.484631e-01	2.980000e+02	3.000000e+02	1.11952
4.988031e+00	7.000000e-01	1.362301e-01	-1.132926e+00	-1.165001e+00	8.484631e-01	2.980000e+02	3.000000e+02	1.11952
4.988031e+00	7.000000e-01	1.362301e-01	-1.132926e+00	-1.165001e+00	8.484631e-01	2.980000e+02	3.000000e+02	1.11952
4.988115e+00	7.000000e-01	1.363251e-01	-1.132944e+00	-1.165005e+00	8.483993e-01	2.980000e+02	3.000000e+02	1.11947
4.988115e+00	7.000000e-01	1.363251e-01	-1.132944e+00	-1.165005e+00	8.483993e-01	2.980000e+02	3.000000e+02	1.11947
4.988115e+00	7.000000e-01	1.363251e-01	-1.132944e+00	-1.165005e+00	8.483993e-01	2.980000e+02	3.000000e+02	1.11947
4.988115e+00	7.000000e-01	1.363251e-01	-1.132944e+00	-1.165005e+00	8.483993e-01	2.980000e+02	3.000000e+02	1.11947
4.988115e+00	7.000000e-01	1.363251e-01	-1.132944e+00	-1.165005e+00	8.483993e-01	2.980000e+02	3.000000e+02	1.11947
4.988115e+00	7.000000e-01	1.363251e-01	-1.132944e+00	-1.165005e+00	8.483993e-01	2.980000e+02	3.000000e+02	1.11947
4.988295e+00	7.000000e-01	1.363211e-01	-1.132976e+00	-1.165017e+00	8.482615e-01	2.980000e+02	3.000000e+02	1.11936
4.988295e+00	7.000000e-01	1.363211e-01	-1.132976e+00	-1.165017e+00	8.482615e-01	2.980000e+02	3.000000e+02	1.11936
4.988295e+00	7.000000e-01	1.363211e-01	-1.132976e+00	-1.165017e+00	8.482615e-01	2.980000e+02	3.000000e+02	1.11936
4.988295e+00	7.000000e-01	1.363211e-01	-1.132977e+00	-1.165017e+00	8.482615e-01	2.980000e+02	3.000000e+02	1.11936
4.988295e+00	7.000000e-01	1.363211e-01	-1.132976e+00	-1.165017e+00	8.482615e-01	2.980000e+02	3.000000e+02	1.11936
4.988295e+00	7.000000e-01	1.363211e-01	-1.132976e+00	-1.165017e+00	8.482615e-01	2.980000e+02	3.000000e+02	1.11936
4.988655e+00	7.000000e-01	1.363160e-01	-1.133043e+00	-1.165041e+00	8.479865e-01	2.980000e+02	3.000000e+02	1.11913
4.988655e+00	7.000000e-01	1.363160e-01	-1.133043e+00	-1.165041e+00	8.479865e-01	2.980000e+02	3.000000e+02	1.11913
