Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.000000e+00	7.500000e-01	1.570000e-01	-1.270000e+00	-5.000000e-01	9.450000e-01	2.980000e+02	3.000000e+02	1.74205
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.056222e+00	7.416456e-01	1.567199e-01	-1.282064e+00	-4.942111e-01	9.525352e-01	2.980000e+02	3.000000e+02	1.57875
5.097628e+00	7.361171e-01	1.563484e-01	-1.289327e+00	-4.903061e-01	9.886852e-01	2.980000e+02	3.000000e+02	1.49341
5.097628e+00	7.361171e-01	1.563484e-01	-1.289327e+00	-4.903061e-01	9.886852e-01	2.980000e+02	3.000000e+02	1.49341
