Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
1.225338e+01	7.000000e-01	9.017167e-01	-2.785320e-01	-3.075539e-01	2.718556e-02	2.980000e+02	3.000000e+02	3.10653
8.960392e+00	7.000000e-01	6.035866e-01	-1.462837e+00	-9.809890e-01	2.408113e-01	2.980000e+02	3.000000e+02	3.16236
7.403319e-01	7.000000e-01	5.794581e-01	-1.612286e-01	-4.448736e-01	1.010806e-01	2.980000e+02	3.000000e+02	2.39890
1.819229e+01	7.000000e-01	1.796849e-01	-1.247260e+00	-6.482236e-01	2.227958e-01	2.980000e+02	3.000000e+02	2.62768
1.647294e+00	7.000000e-01	9.604100e-01	-1.675682e+00	-8.045985e-01	2.552491e-02	2.980000e+02	3.000000e+02	3.02837
4.023675e+00	7.000000e-01	9.562883e-01	-3.320943e-01	-1.309228e-01	1.848606e-01	2.980000e+02	3.000000e+02	3.20065
1.444057e+01	7.000000e-01	7.580739e-01	-2.289404e+00	-1.179322e+00	2.194743e-01	2.980000e+02	3.000000e+02	3.22816
9.742861e+00	7.000000e-01	4.244458e-01	-8.428285e-01	-1.005131e+00	1.361917e-01	2.980000e+02	3.000000e+02	2.12019
1.697632e+01	7.000000e-01	1.116112e-01	-1.753081e+00	-1.421534e-01	2.022390e-01	2.980000e+02	3.000000e+02	1.87371
1.350523e+01	7.000000e-01	1.679094e-01	-2.156798e+00	-1.409485e+00	5.845350e-03	2.980000e+02	3.000000e+02	1.93980
8.255345e+00	7.000000e-01	2.342748e-01	-5.117266e-01	-9.138688e-02	1.529365e-01	2.980000e+02	3.000000e+02	1.96739
4.412673e+00	7.000000e-01	4.968740e-01	-5.964743e-01	-9.112786e-01	2.264916e-01	2.980000e+02	3.000000e+02	2.14418
4.722354e+00	7.000000e-01	4.070675e-01	-3.682821e-02	-2.743241e-01	2.218523e-02	2.980000e+02	3.000000e+02	2.42339
8.306110e+00	7.000000e-01	5.642545e-01	-5.370445e-01	-1.155172e+00	9.272959e-02	2.980000e+02	3.000000e+02	2.34677
1.239211e+01	7.000000e-01	5.531331e-01	-1.284379e+00	-4.332143e-01	1.938494e-01	2.980000e+02	3.000000e+02	2.84370
1.615607e+01	7.000000e-01	5.276304e-01	-2.037714e+00	-7.995886e-01	1.124660e-01	2.980000e+02	3.000000e+02	2.97738
4.994143e+00	7.000000e-01	1.020639e-01	-7.912054e-01	-1.427573e+00	2.091222e-01	2.980000e+02	3.000000e+02	2.33683
1.262738e+01	7.000000e-01	8.274561e-01	-9.300091e-01	-7.400652e-01	1.752320e-01	2.980000e+02	3.000000e+02	3.43612
5.138034e+00	7.000000e-01	6.349236e-01	-1.326451e+00	-1.310898e+00	3.367794e-02	2.980000e+02	3.000000e+02	2.42308
5.912268e+00	7.000000e-01	2.826633e-01	-1.473983e+00	-4.911965e-01	6.957524e-02	2.980000e+02	3.000000e+02	2.31065
6.254647e+00	7.000000e-01	2.418088e-01	-1.900211e+00	-1.128611e+00	1.173606e-01	2.980000e+02	3.000000e+02	2.32761
1.960446e+01	7.000000e-01	8.563060e-01	-2.252427e+00	-6.072981e-01	1.159857e-01	2.980000e+02	3.000000e+02	2.97532
1.944964e-01	7.000000e-01	8.420950e-01	-1.365869e+00	-7.225752e-01	1.751863e-02	2.980000e+02	3.000000e+02	2.89975
1.805637e+01	7.000000e-01	4.766159e-01	-2.616013e-01	-7.724279e-01	1.478709e-02	2.980000e+02	3.000000e+02	1.47507
7.043632e+00	7.000000e-01	4.420162e-01	-3.030102e-02	-3.672304e-01	2.120117e-01	2.980000e+02	3.000000e+02	2.38145
2.189043e+00	7.000000e-01	4.368288e-01	-1.788443e+00	-1.447667e+00	1.040170e-01	2.980000e+02	3.000000e+02	2.49845
1.321034e+01	7.000000e-01	2.579590e-01	-1.107588e+00	-8.851805e-01	2.497052e-01	2.980000e+02	3.000000e+02	2.51945
7.269812e+00	7.000000e-01	8.127711e-03	-1.580089e+00	-1.463117e+00	1.820469e-01	2.980000e+02	3.000000e+02	3.68447
1.156470e+01	7.000000e-01	7.406406e-01	-2.098195e+00	-1.878810e-01	2.449290e-01	2.980000e+02	3.000000e+02	2.11415
7.777413e+00	7.000000e-01	5.960120e-01	-1.148521e+00	-1.113945e+00	1.776013e-01	2.980000e+02	3.000000e+02	2.06754
3.926330e+00	7.000000e-01	8.061752e-01	-1.514302e+00	-3.897409e-01	5.184235e-02	2.980000e+02	3.000000e+02	2.38206
1.752312e+01	7.000000e-01	6.689836e-01	-3.768178e-01	-4.778774e-01	2.035250e-01	2.980000e+02	3.000000e+02	2.79523
1.542791e+01	7.000000e-01	6.486785e-01	-1.316953e+00	-2.019684e-01	7.979080e-02	2.980000e+02	3.000000e+02	1.83034
1.816496e+01	7.000000e-01	1.543121e-01	-1.559771e+00	-6.230453e-01	7.746301e-02	2.980000e+02	3.000000e+02	2.25834
1.257032e+01	7.000000e-01	8.429939e-02	-1.273449e-01	-1.330265e+00	1.511342e-01	2.980000e+02	3.000000e+02	1.99113
6.916435e+00	7.000000e-01	5.312717e-01	-4.662681e-01	-1.626476e-01	1.561032e-02	2.980000e+02	3.000000e+02	2.85645
9.085957e+00	7.000000e-01	4.586652e-01	-6.242206e-02	-5.570199e-01	4.691430e-02	2.980000e+02	3.000000e+02	2.32605
1.561134e+01	7.000000e-01	8.535573e-01	-9.407759e-01	-1.118549e+00	1.262245e-02	2.980000e+02	3.000000e+02	2.19931
8.711364e+00	7.000000e-01	6.549837e-01	-3.838506e-01	-4.558499e-01	2.414313e-01	2.980000e+02	3.000000e+02	2.59918
8.277654e+00	7.000000e-01	3.198649e-01	-6.512679e-01	-1.169412e+00	1.660891e-01	2.980000e+02	3.000000e+02	2.27272
5.585931e-01	7.000000e-01	4.936264e-01	-2.175757e+00	-1.019089e+00	9.115923e-02	2.980000e+02	3.000000e+02	2.74352
3.786097e+00	7.000000e-01	3.388561e-02	-1.595127e+00	-1.275972e+00	1.417966e-01	2.980000e+02	3.000000e+02	2.37792
6.160217e+00	7.000000e-01	3.211779e-01	-3.247959e-01	-9.408384e-01	1.575168e-01	2.980000e+02	3.000000e+02	2.36565
1.546125e+01	7.000000e-01	5.889644e-01	-3.426742e-01	-5.116514e-01	6.620391e-02	2.980000e+02	3.000000e+02	2.59670
8.978270e-01	7.000000e-01	2.320477e-01	-2.301003e+00	-3.524786e-02	1.309556e-02	2.980000e+02	3.000000e+02	2.46907
1.864187e+01	7.000000e-01	1.059559e-01	-1.336801e+00	-1.424334e+00	3.363639e-02	2.980000e+02	3.000000e+02	1.77469
1.888138e+01	7.000000e-01	6.196872e-01	-3.774328e-01	-6.860351e-01	2.801273e-02	2.980000e+02	3.000000e+02	2.73689
4.755560e+00	7.000000e-01	6.772214e-01	-1.651915e+00	-5.789416e-01	2.184810e-02	2.980000e+02	3.000000e+02	2.84717
1.734388e+01	7.000000e-01	5.083111e-01	-4.312331e-01	-6.260641e-01	3.405304e-02	2.980000e+02	3.000000e+02	2.65012
5.346556e+00	7.000000e-01	4.600253e-01	-9.512851e-01	-5.211084e-01	9.656210e-02	2.980000e+02	3.000000e+02	3.03598
1.593596e+01	7.000000e-01	3.917650e-01	-1.657155e-01	-1.295442e-01	7.010315e-02	2.980000e+02	3.000000e+02	2.05273
4.388715e+00	7.000000e-01	3.291696e-02	-7.208541e-01	-1.758910e-01	1.188027e-02	2.980000e+02	3.000000e+02	1.89450
1.610787e+01	7.000000e-01	7.633148e-01	-1.725073e+00	-4.195491e-01	1.619688e-01	2.980000e+02	3.000000e+02	2.37276
1.576164e+01	7.000000e-01	2.713491e-01	-5.245196e-01	-8.172200e-01	8.425116e-02	2.980000e+02	3.000000e+02	1.89441
1.648385e+01	7.000000e-01	4.126164e-01	-1.163723e+00	-8.555248e-01	1.316680e-01	2.980000e+02	3.000000e+02	2.90848
1.415099e+01	7.000000e-01	8.549733e-01	-2.490703e+00	-7.245227e-01	6.555089e-02	2.980000e+02	3.000000e+02	3.14777
1.902068e+01	7.000000e-01	8.486728e-01	-6.542336e-01	-1.080053e+00	8.388857e-02	2.980000e+02	3.000000e+02	2.50265
1.499470e+01	7.000000e-01	7.007612e-01	-1.998177e+00	-5.545749e-01	8.865903e-02	2.980000e+02	3.000000e+02	2.55423
1.506413e+01	7.000000e-01	6.154366e-01	-3.010173e-01	-3.737724e-01	1.011144e-01	2.980000e+02	3.000000e+02	2.55528
1.232285e+01	7.000000e-01	6.323191e-01	-1.230924e+00	-2.448614e-01	1.206991e-01	2.980000e+02	3.000000e+02	2.20278
3.146761e+00	7.000000e-01	1.386596e-01	-1.075892e+00	-1.043842e+00	2.061978e-01	2.980000e+02	3.000000e+02	2.44460
1.360174e+01	7.000000e-01	9.890209e-01	-1.383772e-01	-8.739468e-01	5.757492e-02	2.980000e+02	3.000000e+02	2.75173
1.426394e+01	7.000000e-01	5.031252e-01	-4.557439e-01	-4.760486e-01	3.904901e-04	2.980000e+02	3.000000e+02	2.83959
4.892635e+00	7.000000e-01	1.375937e-02	-1.172600e+00	-7.372159e-01	2.132001e-01	2.980000e+02	3.000000e+02	3.30125
1.378795e+00	7.000000e-01	6.405651e-01	-1.838162e+00	-1.406137e+00	1.073678e-01	2.980000e+02	3.000000e+02	2.50744
1.694106e+01	7.000000e-01	6.364787e-01	-2.925762e-01	-6.616998e-01	1.008346e-01	2.980000e+02	3.000000e+02	2.29869
1.221295e+01	7.000000e-01	1.594123e-01	-7.192852e-02	-1.394387e+00	4.982526e-02	2.980000e+02	3.000000e+02	2.01068
1.469102e+01	7.000000e-01	4.125972e-01	-2.856997e-01	-1.145221e+00	2.137835e-01	2.980000e+02	3.000000e+02	2.04995
8.633390e-01	7.000000e-01	4.362403e-01	-1.624015e+00	-7.821047e-01	3.289877e-02	2.980000e+02	3.000000e+02	2.63823
5.421046e+00	7.000000e-01	9.589009e-01	-6.361150e-01	-3.129741e-01	1.413253e-01	2.980000e+02	3.000000e+02	3.58008
1.080800e+01	7.000000e-01	1.288737e-01	-2.206030e+00	-2.948030e-01	5.980157e-02	2.980000e+02	3.000000e+02	2.08659
1.223554e+00	7.000000e-01	7.867795e-01	-3.964571e-01	-6.656017e-01	5.661685e-02	2.980000e+02	3.000000e+02	2.92029
1.875133e+01	7.000000e-01	4.439881e-01	-1.948094e-01	-1.778507e-01	1.702583e-01	2.980000e+02	3.000000e+02	1.88888
1.379496e+01	7.000000e-01	1.319788e-01	-5.714735e-01	-5.706216e-01	1.526943e-01	2.980000e+02	3.000000e+02	2.13648
2.435793e+00	7.000000e-01	6.586355e-01	-6.266777e-01	-6.423799e-01	7.143483e-03	2.980000e+02	3.000000e+02	3.32208
1.884640e+01	7.000000e-01	3.931033e-01	-1.450211e+00	-3.075539e-01	8.700758e-02	2.980000e+02	3.000000e+02	1.74949
1.777416e-01	7.000000e-01	7.001205e-01	-2.115912e+00	-9.809890e-01	2.368558e-02	2.980000e+02	3.000000e+02	2.74674
1.499178e+01	7.000000e-01	5.794581e-01	-1.215709e+00	-6.083068e-01	3.032714e-02	2.980000e+02	3.000000e+02	2.85141
1.207237e+01	7.000000e-01	3.854500e-01	-1.247260e+00	-4.745921e-01	2.227958e-01	2.980000e+02	3.000000e+02	2.85798
4.159394e+00	7.000000e-01	2.267064e-01	-1.675682e+00	-4.060275e-01	1.154567e-02	2.980000e+02	3.000000e+02	2.36552
5.762446e+00	7.000000e-01	2.961916e-01	-3.320943e-01	-6.665743e-01	5.073271e-03	2.980000e+02	3.000000e+02	2.42515
1.449170e+01	7.000000e-01	2.200155e-01	-2.289404e+00	-8.324518e-01	2.180309e-02	2.980000e+02	3.000000e+02	2.27362
9.742861e+00	7.000000e-01	8.266276e-01	-1.428570e+00	-1.005131e+00	7.729833e-04	2.980000e+02	3.000000e+02	1.78335
1.708225e+01	7.000000e-01	5.310289e-01	-2.333584e+00	-8.002443e-01	1.103064e-01	2.980000e+02	3.000000e+02	2.96993
1.350523e+01	7.000000e-01	3.650097e-01	-2.156798e+00	-1.372754e+00	2.949177e-03	2.980000e+02	3.000000e+02	1.98986
8.255345e+00	7.000000e-01	2.342748e-01	-1.329207e-01	-9.138688e-02	1.062752e-02	2.980000e+02	3.000000e+02	2.22295
5.395801e+00	7.000000e-01	3.748284e-01	-5.964743e-01	-1.015966e+00	2.264916e-01	2.980000e+02	3.000000e+02	2.43474
1.605876e+01	7.000000e-01	7.761768e-01	-3.682821e-02	-6.920744e-01	8.552296e-02	2.980000e+02	3.000000e+02	1.89875
1.978435e+01	7.000000e-01	2.328765e-01	-3.290995e-01	-1.155172e+00	9.928664e-03	2.980000e+02	3.000000e+02	1.79447
1.239211e+01	7.000000e-01	1.818749e-01	-7.574275e-01	-7.564348e-01	6.227983e-02	2.980000e+02	3.000000e+02	2.50718
1.615607e+01	7.000000e-01	9.339650e-01	-3.101400e-01	-1.178543e+00	5.087983e-03	2.980000e+02	3.000000e+02	2.52349
3.473855e+00	7.000000e-01	8.429458e-01	-7.912054e-01	-4.643295e-01	3.570510e-02	2.980000e+02	3.000000e+02	3.51965
1.535749e+01	7.000000e-01	8.274561e-01	-1.110541e+00	-9.664822e-01	1.752320e-01	2.980000e+02	3.000000e+02	3.20820
1.932911e+01	7.000000e-01	6.882947e-02	-1.189739e+00	-7.456942e-02	3.367794e-02	2.980000e+02	3.000000e+02	1.81089
5.912268e+00	7.000000e-01	7.327434e-01	-1.776094e+00	-6.160186e-01	6.957524e-02	2.980000e+02	3.000000e+02	3.06705
6.254647e+00	7.000000e-01	3.515396e-01	-1.448156e+00	-1.128611e+00	8.823661e-02	2.980000e+02	3.000000e+02	2.36530
